Субъект;Оборот розничной торговли;Число малых предприятий;Использование пк в организациях;Расходы бюджетов субъектов;Реальные денежные доходы
Российская Федеpация;180410;144;93,8;8806,6;99,55
Центpальный федеральный округ;231873;147;95,1;2871522;96,8
Белгородская область;164079;157;97,6;87248,5;99,7
Бpянская область;158501;100;93,1;48678,5;99,3
Владимиpская область;129564;131;96,2;54385;99,2
Воронежская область;181499;100;95,1;100209,5;106,2
Ивановская область;138185;198;95,9;39604,1;102,8
Калужская область;161623;135;96,3;55420,4;98,9
Костpомская область;114959;102;92,3;27486,5;101,7
Курская область;146850;94;94,1;49355,2;102,8
Липецкая область;171096;127;97,3;51252,8;105,1
Московская область;220314;107;94,6;443643,6;99,3
Оpловская область;131430;102;92,3;33718,3;100,1
Рязанская область;140026;149;97,6;53072,3;100,5
Смоленская область;150008;138;96,1;44122,3;99,4
Тамбовская область;157556;82;88,5;49045,8;102,9
Твеpская область;153135;130;93,8;61328,1;98,2
Тульская область;152864;137;90,5;68223,2;101
Яpославская область;149623;172;94,5;70481,9;103,5
г. Москва;365089;201;100;1534246;92,8
Севеpо-Западный федеральный округ;172438;240;95,8;1045011,4;101,4
Республика Каpелия;153651;146;98,8;36462,7;99
Республика Коми;181937;150;93;74619;96,7
Аpхангельская область;176491;124;95,6;96105,2;102,5
Ненецкий автономный округ;178374;103;96,9;16975,7;94,1
Архангельская область ;176420;124;95,5;79129,5;103,3
Вологодская область;125014;105;96,8;58007,9;102,4
Калининградская область;136627;225;92,9;53767,9;103
Ленингpадская область;156780;112;96,4;99638,5;96,8
Муpманская область;196946;77;96;63061,2;95,7
Новгоpодская область;155324;155;93,4;33955,7;102,3
Псковская область;144799;127;94,8;32947,7;100,3
г. Санкт-Петеpбуpг;197144;419;98,2;400340,4;103,7
Южный федеральный округ;171997;115;90;598391,6;103,3
Республика Адыгея;164975;88;100;16946,5;111,1
Республика Калмыкия;62779;39;94,3;11773,6;102,3
Краснодарский край;196892;115;93,5;269986,6;103,5
Астраханская область;162393;98;88,9;42401,8;104,8
Волгоградская область;126856;112;84,7;92735,4;100,4
Ростовская область;177702;128;89,6;164547,7;102,7
Севеpо-Кавказский федеральный округ;139263;55;96,2;353401;103,6
Республика Дагестан;171054;23;99,8;89420;103,1
Республика Ингушетия ;41805;78;100;24064,2;101,2
Кабардино-Балкарская Республика;116477;50;98;27674,3;101,9
Карачаево-Черкесская Республика;78422;78;82,8;20626,6;101,9
Республика Северная Осетия – Алания;131840;82;91,5;26321,9;104,4
Чеченская Республика ;88310;41;100;65694,7;110,5
Ставропольский край;165228;84;99,2;99599,3;102,5
Приволжский федеральный округ;163193;124;93,1;1346460,2;102,1
Республика Башкортостан;191935;102;98,2;171493,5;101,3
Республика Маpий Эл;106277;138;95,9;26701,9;104,1
Республика Моpдовия;89808;88;90,2;40727,5;103
Республика Татарстан;203038;127;97,6;209554,5;106,7
Удмуртская Республика;129660;143;97,6;70039,9;106,4
Чувашская Республика;106444;128;95;44457;101,3
Пермский край;184849;134;96,5;129524,8;101,3
Киpовская область;126231;184;82,4;57149,5;104,2
Нижегородская область;190206;109;97,5;150031,9;104,7
Оренбургская область;134482;96;97,2;89596,1;103,3
Пензенская область;133259;119;97,3;55789,3;101,8
Самарская область;194188;146;80,7;166201,5;90
Саратовская область;120725;124;94,3;87683,9;103,9
Ульяновская область;129143;126;90,7;47508,9;106,7
Уральский федеральный округ;198727;163;95,5;1511503,7;98,4
Курганская область;117095;84;87;35723,3;98,4
Свердловская область;230949;189;98,1;232626;96,2
Тюменская область;223265;193;95,9;549637,2;100,3
Ханты-Мансийский автономный округ – Югра;224038;166;97,9;230550,5;100,5
Ямало-Ненецкий автономный округ;235512;132;97,5;158865,9;98,4
Тюменская область ;217731;245;93;160220,8;102
Челябинская область;154226;120;95,7;143880;99
Сибирский федеральный округ;139720;156;92,1;1034101,2;98,2
Республика Алтай;97474;106;95,3;14857;109
Республика Бурятия;141496;114;94,3;52367,7;99,8
Республика Тыва;60063;42;90,3;23472,6;99,5
Республика Хакасия;123176;126;98,5;26267,1;96,3
Алтайский край;128376;134;91,1;88326;106,4
Забайкальский край;124928;59;97,3;57457,4;95,3
Красноярский край;171796;187;96;209122,1;94,1
Иркутская область;118287;118;96,6;134399,6;97,5
Кемеровская область;122765;124;90;130626,7;94,7
Новосибирская область;168581;278;90,1;148525,1;96,4
Омская область;158990;155;90;88164,8;104,8
Томская область;115052;178;81,3;60515,1;98,5
Дальневосточный федеральный округ;167755;151;94,9;688469,3;102,8
Республика Саха (Якутия);173477;146;97,7;164087,6;101,2
Камчатский край;143851;163;98;58398,4;97,7
Приморский край;147683;164;92,4;107295,6;108,1
Хабаровский край;178673;154;98,7;110357,2;100,5
Амурская область;163781;99;91;78530,4;100,3
Магаданская область;174694;194;96,4;30206,9;100,8
Сахалинская область;250253;188;93,9;97262,4;104,1
Еврейская автономная область;117276;94;91,2;14421,4;98,2
Чукотский автономный округ;102795;75;98,9;27909,4;103,5
Крымский федеральный округ;80958;79;97,1;;
Республика Крым;79010;68;98,1;;
г. Севастополь;90459;132;92,7;;
